X,Y,objectid,facility,licensee,expires,hgenlic,rehabhlic,psylic,salic,detoxlic,hoslic,rsrchlic,nfgenlic,othrhlic,alzlic,hivlic,tbilic,venlic,othnflic,rehabnlic,haalzlic,hahivlic,hagenlic,orheart_hl,orcsect_hl,orother_hl,oramsu_hl,orshare_hl,orendo_hl,altfacname,hltype,stype,fcounty,fcity,fstate,fzip,faddr1,fphone,licno
458186.754900001,171439.614999998,1,Carolinas HealthCare-Harrisburg, , ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrisburg Medical,ED,HL,Cabarrus,Harrisburg,NC,28215,9592 Rocky River Road,904-403-9300, 
722755.4005,63629.5810000002,2,New Hanover Regional Medical Center-North, , ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NHRMC North,ED,HL,New Hanover,Wilmington,NC,28111,151 Scotts Hill Medical Dr,910-662-9000, 
443409.280199997,156439.008099999,3,Carolinas HealthCare-SouthPark, , ,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthPark,ED,HL,Mecklenburg,Charlotte,NC,28211,6965 Fairview Road,704-631-1300, 
599693.785499997,142181.160399999,4,Cape Fear Valley-Hoke Hospital,"Hoke Healthcare, LLC", ,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hoke Hospital,ED,HL,Hoke,Raeford,NC,28376,210 Medical Pavilion Dr,910-904-8000,H0288
564349.498499997,256552.318999998,5,Cone Health-Alamance Regional,"Alamance Regional Medical Center, Inc.", ,182,0,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,9,4,Alamance Regional Medical Center,Hospital,HL,Alamance,Burlington,NC,272160202,1240 Huffman Mill Rd,(336)538-7450,H0272
294440.156099997,179699.171500001,6,UNC Health Care-Pardee,Henderson County Hospital Corporation, ,193,0,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Margaret R Pardee Memorial Hospital,Hospital,HL,Henderson,Hendersonville,NC,287913518,800 North Justice Street,(828)696-1000,H0161
659037.044399999,286502.8068,7,Duke LifePoint-Maria Parham Medical Center,"Maria Parham Medical Center, Inc.", ,91,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maria Parham Medical Center,Hospital,HL,Vance,Henderson,NC,27536,566 Ruin Creek Rd,(252)436-1100,H0267
783740.802199997,233516.217399999,8,Martin General Hospital,Williamston Hospital Corporation, ,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Martin General Hospital,Hospital,HL,Martin,Williamston,NC,27892,310 South McCaskey Rd,(252)809-6179,H0078
492854.177000001,259122.365499999,9,Novant Health-Medical Park Hospital,"Medical Park Hospital, Inc.", ,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Novant - Medical Park Hospital,S,HL,Forsyth,Winston Salem,NC,27103,1950 South Hawthorne Rd,(336)718-0600,H0229
288045.209700003,208343.372200001,10,Mission Health - Mission Hospital,"Mission Hospital, Inc.", ,701,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,9,30,6,Mission Hospital,Hospital,HL,Buncombe,Asheville,NC,28801,509 Biltmore Ave and 428 Biltmore *,(828)213-1111,H0036
543342.543899998,304744.451900002,11,Morehead Memorial Hospital,Morehead Memorial Hospital, ,108,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,13,0,1,0,0,5,2,Morehead Memorial Hospital,Hospital,HL,Rockingham,Eden,NC,27288,117 East Kings Hwy,(336)623-9711,H0072
538774.950800002,259965.5108,12,Cone Health-The Moses H. Cone Memorial Hospital,The Moses H. Cone Memorial Hosp Operating Corporation, ,818,49,80,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moses Cone Memorial Hospital,Hospital,HL,Guilford,Greensboro,NC,274011020,1200 North Elm St,(336)832-7000,H0159
156897.9331,158015.339499999,13,Murphy Medical Center,"Murphy Medical Center, Inc.", ,57,0,0,0,0,0,0,120,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Murphy Medical Center,Hospital,HL,Cherokee,Murphy,NC,28906,4130 US Hwy 64 East,(828)837-8161,H0239
713164.562299997,247507.936299998,14,UNC Health Care-Nash General Hospital,"Nash Hospitals, Inc.", ,262,0,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,4,Nash General Hospital,Hospital,HL,Nash,Rocky Mount,NC,27804,2460 Curtis Ellis Dr.,(252)962-8070,H0228
709040.137599997,51068.7298999988,15,New Hanover Regional Medical Center,New Hanover Regional Medical Center, ,647,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,29,5,New Hanover Regional Medical Center,Hospital,HL,New Hanover,Wilmington,NC,28401,2131 South Seventeenth St,(910)667-7040,H0221
495392.913500004,260277.419100001,16,Wake Forest Baptist Health - Medical Center,North Carolina Baptist Hospital, ,802,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,10,North Carolina Baptist Hospital,Hospital,HL,Forsyth,Winston Salem,NC,27157,Medical Center Blvd,(336)716-2011,H0011
618908.9802,254343.672499999,17,North Carolina Specialty Hospital,"North Carolina Specialty Hospital, LLC", ,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,North Carolina Specialty Hospital,S,HL,Durham,Durham,NC,27704,3916 Ben Franklin Blvd.,(919)956-9300,H0075
465188.230599999,305013.5079,18,Northern Hospital of Surry County,Northern Hospital District of Surry County, ,100,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,Northern Hospital of Surry County,Hospital,HL,Surry,Mount Airy,NC,27030,830 Rockford St,(336)719-7000,H0184
757456.7509,113543.951499999,19,Onslow Memorial Hospital,"Onslow Memorial Hospital, Inc.", ,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onslow Memorial Hospital,Hospital,HL,Onslow,Jacksonville,NC,285411358,317 Western Blvd,(910)577-2345,H0048
750945.035700001,265047.899300002,20,Our Community Hospital,"Our Community Hospital, Inc.", ,20,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,Our Community Hospital,Hospital,HL,Halifax,Scotland Neck,NC,27874,921 Junior High School Rd,(252)826-4144,H0004
292793.536200002,187496.879099999,21,Park Ridge Health,"Fletcher Hospital, Incorporated", ,62,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Park Ridge Hospital,Hospital,HL,Henderson,Fletcher,NC,28732,Naples Rd,(828)684-8501,H0019
708742.913900003,89314.3460000008,22,New Hanover Regional Medical Center-Pender Memorial Hospital,"Pender Memorial Hospital, Inc.", ,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pender Memorial Hospital,Hospital,HL,Pender,Burgaw,NC,28425,507 Fremont St,(910)259-5451,H0115
610938.028300002,294896.806699999,23,Duke LifePoint-Person Memorial Hospital,"DLP Person Memorial Hospital, LLC", ,38,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,Person Memorial Hospital,Hospital,HL,Person,Roxboro,NC,27573,615 Ridge Rd,(336)599-2121,H0066
754205.614,207293.845400002,24,Vidant Medical Center,"Pitt County Memorial Hospital, Inc.", ,628,75,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitt Memorial,Hospital,HL,Pitt,Greenville,NC,278356028,2100 Stantonsburg Rd,(252)847-4451,H0104
443505.557800002,163725.219500002,25,Novant Health-Presbyterian Medical Center,The Presbyterian Hospital, ,463,0,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Presbyterian Medical Center,Hospital,HL,Mecklenburg,Charlotte,NC,282333549,200 Hawthorne Ln,(704)384-4000,H0010
440630.672399998,185354.275800001,26,Novant Health-Huntersville Medical Center,The Presbyterian Hospital, ,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Huntersville Medical Center,Hospital,HL,Mecklenburg,Huntersville,NC,280783508,10030 Gilead Rd.,(704)316-4010,H0282
453326.971799999,153328.621300001,27,Novant Health-Matthews Medical Center,Presbyterian Medical Care Corp., ,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthews Medical Center,Hospital,HL,Mecklenburg,Matthews,NC,281063310,1500 Matthews Township Parkway,(704)384-6370,H0270
859305.935800001,288873.5539,28,Sentara Albemarle Medical Center,Albemarle Hospital Authority, ,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albemarle Hospital,Hospital,HL,Pasquotank,Elizabeth City,NC,279061587,1144 North Road St,(252)384-4600,H0054
420170.596199997,308133.246100001,29,Alleghany Memorial Hospital,"Alleghany County Memorial Hospital, Inc.", ,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alleghany Memorial Hospital,Hospital,HL,Alleghany,Sparta,NC,28675,233 Doctors St,(336)372-5511,H0108
210931.990400001,167950.545899998,30,Mission Health-Angel Medical Center,"Angel Medical Center, Inc.", ,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angel Medical Center,Hospital,HL,Macon,Franklin,NC,28744,120 Riverview Street,(828)524-8411,H0034
549717.755099997,288979.152899999,31,Cone Health-Annie Penn Hospital,The Moses H. Cone Memorial Hospital Operating Corp., ,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,Annie Penn Hospital,Hospital,HL,Rockingham,Reidsville,NC,27320,618 South Main St,(336)951-4000,H0023
511360.6461,134903.733899999,32,Carolina HealthCare-Anson,"Carolinas-Anson Healthcare, Inc.", ,52,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anson Community Hospital,Hospital,HL,Anson,Wadesboro,NC,28170,500 Morven Rd,(704)694-5131,H0082
389116.215499997,299299.555100001,33,Ashe Memorial Hospital,"Ashe Memorial Hospital, Inc.", ,76,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashe Memorial Hospital,Hospital,HL,Ashe,Jefferson,NC,28640,200 Hospital Ave,(336)846-7101,H0099
287938.919100001,208817.186299998,34,Mission Health-Asheville Specialty Hospital,"MSJHS And CCP Joint Development Company, LLC", ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asheville Specialty Hospital,LTAC,HL,Buncombe,Asheville,NC,28801,428 Biltmore Avenue,(828)213-5400,H0279
787297.135799997,201318.1362,35,Vidant-Beaufort Hospital,"Beaufort County Hospital Association, Inc.", ,120,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beaufort County Hospital,Hospital,HL,Beaufort,Washington,NC,27889,628 East Twelfth St,(252)975-4100,H0188
796421.227499999,250329.116599999,36,Vidant-Bertie Hospital,"East Carolina Health-Bertie, Inc.", ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bertie Hospital,Hospital,HL,Bertie,Windsor,NC,27983,1403 South King Street,(252)794-6600,H0268
642822.527800001,172782.770100001,37,Harnett Health - Betsy Johnson Hospital,"Harnett Health System, Inc", ,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Betsy Johnson Regional,Hospital,HL,Harnett,Dunn,NC,28335,800 Tilghman Dr,(910)892-7161,H0224
645544.539499998,96883.2091999985,38,Cape Fear Valley-Bladen County Hospital,County of Bladen, ,48,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bladen County Hospital,Hospital,HL,Bladen,Elizabethtown,NC,28337,501 South Poplar Street,(910)862-5179,H0154
333157.076399997,243985.657000002,39,Mission Health-Blue Ridge Regional Hospital,"Blue Ridge Regional Hospital, Inc.", ,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue Ridge Regional Hospital,Hospital,HL,Mitchell,Spruce Pine,NC,28777,125 Hospital Drive,(828)765-4201,H0169
675111.039899997,28991.2153999992,40,Novant Health-Brunswick Medical Center,"Brunswick Community Hospital, LLC", ,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brunswick Community Hospital,Hospital,HL,Brunswick,Supply,NC,28462,One Medical Center Dr,(910)755-8121,H0250
380780.0735,242591.357500002,41,UNC Health Care-Caldwell,"Caldwell Memorial Hospital, Inc.", ,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caldwell Memorial Hospital,Hospital,HL,Caldwell,Lenoir,NC,28645,321 Mulberry St SW,(828)757-5100,H0061
615709.524300002,142196.491900001,42,Cape Fear Valley Medical Center,"Cumberland County Hospital System, Inc.", ,501,0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,13,4,Cape Fear Valley Medical Center,Hospital,HL,Cumberland,Fayetteville,NC,283022000,1638 Owen Dr,(910)615-6700,H0213
289557.799900003,206729.5504,43,CarePartners Rehabilitation Hospital,"Community CarePartners, Inc.", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CarePartners Rehabilitation Hospital,Rehab,HL,Buncombe,Asheville,NC,288130025,68 Sweeten Creek Rd,(828)277-4800,H0081
409694.412799999,195203.550299998,44,Carolinas HealthCare-Lincoln,Lincoln Health System, ,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lincoln Medical Center,Hospital,HL,Lincoln,Lincolnton,NC,280930677,200 Gamble Dr,(704)735-3071,H0225
443797.795500003,163502.499299999,45,Carolinas HealthCare-Mercy,"Mercy Hospital, Inc.", ,185,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carolinas Medical Center-Mercy,Hospital,HL,Mecklenburg,Charlotte,NC,28207,2001 Vail Ave,(704)304-5000,H0042
464115.701700002,188214.5429,46,Carolinas HealthCare-NorthEast,"CMC-NorthEast, Inc", ,447,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NorthEast Medical,Hospital,HL,Cabarrus,Concord,NC,28025,920 Church St N,(704)783-3000,H0031
470594.863600001,136978.4102,47,Carolinas HealthCare-Union,"Union Memorial Regional Medical Center, Inc.", ,157,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carolinas Medical Center-Union,Hospital,HL,Union,Monroe,NC,28111,600 Hospital Dr,(704)283-3100,H0050
450742.501699999,174102.468199998,48,Carolinas HealthCare-University,Charlotte-Mecklenburg Hospital Authority, ,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carolinas Medical Center-University,Hospital,HL,Mecklenburg,Charlotte,NC,28256,8800 North Tryon St,(704)863-6000,H0255
442206.512199998,162881.905499998,49,Carolinas HealthCare-Carolinas Medical Center,Charlotte-Mecklenburg Hospital Authority, ,976,13,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,11,41,12,Carolinas Medical Center,Hospital,HL,Mecklenburg,Charlotte,NC,28232,1000 Blythe Blvd,(704)355-2000,H0071
442256.729199998,162723.156300001,50,Carolinas HealthCare-Carolinas Rehabilitation,The Charlotte-Mecklenburg Hospital Authority, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carolinas Rehabilitation,Rehab,HL,Mecklenburg,Charlotte,NC,28203,1100 Blythe Blvd,(704)355-4300,H0071-C
425207.802699998,169721.1547,51,Carolinas HealthCare-Carolinas Rehabilitation Mt. Holly,The Charlotte-Mecklenburg Hospital Authority, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carolinas Rehabilitation Mt. Holly,Rehab,HL,Gaston,Belmont,NC,28012,275 Beatty Drive,(704)355-3398,H0283
815239.618500002,110591.533599999,52,Carteret Health Care,Carteret County General Hospital Corporation, ,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,Carteret General Hospital,Hospital,HL,Carteret,Morehead City,NC,28557,3500 Arendell St,(252)808-6000,H0222
404491.181699999,220198.293099999,53,Catawba Valley Medical Center,County of Catawba, ,200,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2,Catawba Valley Medical Center,Hospital,HL,Catawba,Hickory,NC,28602,810 Fairgrove Church Road,(828)326-3800,H0223
592611.780900002,190713.584100001,54,Duke LifePoint-Central Carolina Hospital,"DLP Central Carolina Medical Center, LLC", ,127,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,Central Carolina Hospital,Hospital,HL,Lee,Sanford,NC,27330,1135 Carthage St,(919)774-2100,H0243
349013.686899997,260561.709399998,55,Appalachian Health-Cannon Memorial Hospital,"Charles A. Cannon, Jr. Memorial Hospital, Inc.", ,40,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles A. Cannon Jr. Memorial Hospital,Hospital,HL,Avery,Linville,NC,28646,434 Hospital Drive,(828)737-7000,H0037
571607.740900002,219005.2841,56,UNC Health Care-Chatham Hospital,"Chatham Hospital, Inc.", ,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chatham Hospital,Hospital,HL,Chatham,Siler City,NC,27344,West Third St and Ivy St,(919)663-2113,H0007
824927.061800003,259993.785799999,57,Vidant-Chowan Hospital,"East Carolina Health-Chowan, Inc.", ,49,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chowan Hospital,Hospital,HL,Chowan,Edenton,NC,27932,211 Virginia Rd,(252)482-8451,H0063
378961.420100003,175197.1884,58,Carolinas HealthCare-Cleveland,Cleveland County HealthCare System, ,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cleveland Regional Medical Center,Hospital,HL,Cleveland,Shelby,NC,28150,201 East Grover St,(704)487-3245,H0024
637725.438900001,65236.6442999989,59,Columbus Regional Healthcare System,Columbus Regional Healthcare System, ,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Columbus Regional Hospital,Hospital,HL,Columbus,Whiteville,NC,28472,500 Jefferson St,(910)642-8011,H0045
785885.691200003,152971.338599999,60,CarolinaEast Medical Center,Craven Regional Medical Authority, ,270,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Craven Regional Medical Center,Hospital,HL,Craven,New Bern,NC,285612157,2000 Neuse Blvd,(252)633-8640,H0201
467720.369000003,239555.561299998,61,Wake Forest Baptist Health - Davie Medical Center,Davie County Emergency  Health Corporation, ,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Davie County Hospital,Hospital,HL,Davie,Mocksville,NC,27028,223 Hospital St,(336)751-8100,H0171
444362.757299997,230977.301600002,62,Davis Regional Medical Center,"Statesville HMA, LLC", ,102,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,Davis Regional Medical Center,Hospital,HL,Iredell,Statesville,NC,28687,218 Old Mocksville Road,(704)873-0281,H0248
644076.1787,230618.774799999,63,Duke Raleigh Hospital,"Duke University Health System, Inc.", ,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,Duke Raleigh Hospital,Hospital,HL,Wake,Raleigh,NC,276118280,3400 Wake Forest Rd,(919)954-3000,H0238
615234.069499999,250458.6164,64,Duke University Hospital,"Duke University Health System, Inc.", ,924,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duke University Medical Center,Hospital,HL,Durham,Durham,NC,27710,2301 Erwin Road,(919)684-8076,H0015
704478.9274,135275.528499998,65,Vidant-Duplin Hospital,"Duplin General Hospital, Inc.", ,61,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duplin General Hospital,Hospital,HL,Duplin,Kenansville,NC,283490278,401 North Main St,(910)296-0941,H0166
618713.923199996,253753.796500001,66,Duke Regional Hospital,"Duke University Health System, Inc.", ,316,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,4,Duke Regional Hospital,Hospital,HL,Durham,Durham,NC,27704,3643 North Roxboro Rd,(919)470-4000,H0233
528694.756200001,179493.999299999,67,FirstHealth Montgomery Memorial Hospital,"FirstHealth of the Carolinas, Inc.", ,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FirstHealth Montgomery Memorial Hospital,Hospital,HL,Montgomery,Troy,NC,27371,520 Allen St,(910)571-5000,H0003
568043.5493,161531.777899999,68,FirstHealth Moore Regional Hospital,"FirstHealth of the Carolinas, Inc.", ,297,25,36,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstHealth Moore Regional,Hospital,HL,Moore,Pinehurst,NC,28374,155 Memorial Drive,(910)215-1000,H0100
541123.741899997,131006.843699999,69,FirstHealth Richmond Memorial Hospital,"FirstHealth of the Carolinas, Inc.", ,99,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstHealth Richmond Memorial,Hospital,HL,Richmond,Rockingham,NC,28379,925 Long Dr,(910)417-3000,H0158
492750.842100002,258747.011100002,70,Novant Health-Forsyth Medical Center,"Forsyth Memorial Hospital, Inc.", ,751,68,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forsyth Medical Center,Hospital,HL,Forsyth,Winston Salem,NC,27103,3333 Silas Creek Pkwy,(336)718-5000,H0209
398222.721000001,222947.911499999,71,Duke LifePoint-Frye Regional Medical Center,"DLP Frye Regional Medical Center, LLC", ,209,0,84,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,4,15,2,Frye Regional Medical Center,Hospital,HL,Catawba,Hickory,NC,28601,420 North Center St,(828)315-5000,H0053
415005.1998,171021.4252,72,CaroMont Regional Medical Center,"Gaston Memorial Hospital,Inc.", ,372,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gaston Memorial,Hospital,HL,Gaston,Gastonia,NC,280531747,2525 Court Dr,(704)834-2121,H0105
369105.549400002,222192.926800001,73,Carolinas HealthCare-Blue Ridge Morganton,"Grace Hospital, Inc.", ,162,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grace Hospital,Hospital,HL,Burke,Morganton,NC,28655,2201 South Sterling St,(828)580-5000,H0062
646115.086000003,285879.4177,74,Granville Medical Center,County of Granville, ,62,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Granville Medical Center,Hospital,HL,Granville,Oxford,NC,27565,1010 College St,(919)690-3000,H0098
731000.978799999,298373.940099999,75,Halifax Regional Medical Center,"Halifax Regional Medical Center, Inc.", ,186,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Halifax Regional Medical Center,Hospital,HL,Halifax,Roanoke Rapids,NC,27870,250 Smith Church Rd,(252)535-8011,H0230
227955.323299997,189543.4881,76,Duke LifePoint-Harris Regional Hospital,"DLP Harris Regional Hospital, LLC", ,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Harris Regional Hospital,Hospital,HL,Jackson,Sylva,NC,287792795,68 Hospital Rd,(828)586-7000,H0087
252147.827699997,204043.102600001,77,Duke LifePoint-Haywood Regional Medical Center,"DLP Haywood Regional Medical Center, LLC", ,153,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,Haywood Regional Medical Center,Hospital,HL,Haywood,Clyde,NC,28721,262 Leroy George Drive,(828)456-7311,H0025
739922.5528,241786.851300001,78,Vidant-Edgecombe Hospital,"East Carolina Health - Heritage, Inc.", ,101,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Edgecombe Hospital,Hospital,HL,Edgecombe,Tarboro,NC,27886,111 Hospital Dr,(252)641-7700,H0258
